dataset,n,p,model,nu,kernel,gamma,AUC,Accuracy,Precision,Recall,BalAcc,failure,contamination,n_estimators,n_neighbors,eps,min_samples,M
ring_outliers,1030,2,LocalOutlierFactor,,,,0.5598333333333333,0.8359223300970874,0.0516129032258064,0.2666666666666666,0.5598333333333333,False,0.15,,5.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.5515,0.7883495145631068,0.0436893203883495,0.3,0.5515,False,0.2,,5.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.5343333333333333,0.6922330097087379,0.0355987055016181,0.3666666666666666,0.5343333333333333,False,0.3,,5.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.5803333333333333,0.9699029126213592,0.4545454545454545,0.1666666666666666,0.5803333333333334,False,0.01,,10.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.8173333333333332,0.9592233009708738,0.3846153846153846,0.6666666666666666,0.8173333333333332,False,0.05,,10.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.7918333333333333,0.9097087378640776,0.1941747572815534,0.6666666666666666,0.7918333333333334,False,0.1,,10.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.7658333333333333,0.8592233009708737,0.1290322580645161,0.6666666666666666,0.7658333333333334,False,0.15,,10.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.7403333333333333,0.8097087378640777,0.0970873786407767,0.6666666666666666,0.7403333333333333,False,0.2,,10.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.6888333333333334,0.7097087378640776,0.0647249190938511,0.6666666666666666,0.6888333333333333,False,0.3,,10.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.6833333333333333,0.9815533980582524,1.0,0.3666666666666666,0.6833333333333333,False,0.01,,20.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.989,0.9786407766990292,0.5769230769230769,1.0,0.989,False,0.05,,20.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.9635,0.929126213592233,0.2912621359223301,1.0,0.9635,False,0.1,,20.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.9375,0.8786407766990292,0.1935483870967742,1.0,0.9375,False,0.15,,20.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.912,0.829126213592233,0.145631067961165,1.0,0.912,False,0.2,,20.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.8605,0.7291262135922331,0.0970873786407767,1.0,0.8605,False,0.3,,20.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.6833333333333333,0.9815533980582524,1.0,0.3666666666666666,0.6833333333333333,False,0.01,,30.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.989,0.9786407766990292,0.5769230769230769,1.0,0.989,False,0.05,,30.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.9635,0.929126213592233,0.2912621359223301,1.0,0.9635,False,0.1,,30.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.9375,0.8786407766990292,0.1935483870967742,1.0,0.9375,False,0.15,,30.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.912,0.829126213592233,0.145631067961165,1.0,0.912,False,0.2,,30.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.8605,0.7291262135922331,0.0970873786407767,1.0,0.8605,False,0.3,,30.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.6833333333333333,0.9815533980582524,1.0,0.3666666666666666,0.6833333333333333,False,0.01,,50.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.989,0.9786407766990292,0.5769230769230769,1.0,0.989,False,0.05,,50.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.9635,0.929126213592233,0.2912621359223301,1.0,0.9635,False,0.1,,50.0,,,
